InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV102127,SKU-1007,Water Bottle 1L,Home,8,2024-03-09 00:00,399,C0064,United States
INV100246,SKU-1009,Desk Lamp,Home,8,2024-06-06 00:00,1499,C0027,Germany
INV103752,SKU-1011,Wireless Earbuds,Electronics,4,2024-10-27 00:00,3499,C0021,Germany
INV102289,SKU-1004,Laptop Stand,Accessories,4,2024-07-26 00:00,1299,C0012,United States
INV101840,SKU-1001,Wireless Mouse,Electronics,9,2024-06-18 00:00,799,C0092,United States
INV103539,SKU-1002,Mechanical Keyboard,Electronics,5,2024-01-23 00:00,2499,C0024,United States
INV101386,SKU-1015,Yoga Mat,Home,10,2024-05-21 00:00,899,C0035,United States
INV103577,SKU-1008,COFFEE MUG,Home,9,2024-04-11 00:00,249,C0071,France
INV102295,SKU-1008,Coffee Mug,Home,5,2024-11-24 00:00,249,C0051,USA
INV102808,SKU-1008,Coffee Mug,Home,1,2024-02-20 00:00,249,C0056,India
INV101849,SKU-1013,Sticky Notes,Stationery,3,2024-03-17 00:00,79,C0059,France
INV101580,SKU-1004,Laptop Stand,Accessories,7,2024-04-12 00:00,1299,,India
INV100862,SKU-1001,Wireless Mouse,Electronics,2,2024-11-17 00:00,799,,United States
INV100263,SKU-1001,Wireless Mouse,Electronics,6,2024-05-08 00:00,799,,United States
INV103500,SKU-1008,Coffee Mug,Home,9,2024-11-07 00:00,249,,France
INV101572,SKU-1005,Notebook A5,Stationery,2,2024-04-25 00:00,149,C0039,USA
INV103662,SKU-1006,Gel Pen Pack,Stationery,11,2024-04-23 00:00,99,,united kingdom
INV102224,SKU-1010,Backpack,Accessories,7,2024-03-23 00:00,1999,C0112,France
INV102702,SKU-1009,Desk Lamp,Home,2,2024-05-07 00:00,1499,C0086,France
INV102169,SKU-1010,Backpack,Accessories,6,2024-03-01 00:00,1999,C0049,France
INV102882,SKU-1014,Power Bank 10000mAh,Electronics,4,2024-12-18 00:00,1799,C0062,France
INV103777,SKU-1006,Gel Pen Pack,Stationery,5,2024-07-24 00:00,99,C0051,France
INV101281,SKU-1015,Yoga Mat,Home,11,2024-07-01 00:00,899,C0094,United Kingdom
INV102164,SKU-1014,Power Bank 10000mAh,Electronics,4,2024-01-14 00:00,1799,C0008,France
INV101230,SKU-1010,Backpack,Accessories,7,2024-04-19 00:00,1999,C0026,France
INV100034,SKU-1003,USB-C Cable,Electronics,2,2024-01-18 00:00,299,C0069,India
INV103480,SKU-1005,Notebook A5,Stationery,4,2024-07-23 00:00,149,C0106,France
INV102013,SKU-1013,Sticky Notes,Stationery,5,2024-10-17 00:00,79,C0053,United Kingdom
INV103160,SKU-1010,Backpack,Accessories,9,2024-08-16 00:00,1999,C0035,united kingdom
INV100732,SKU-1003,USB-C Cable,Electronics,2,2024-06-11 00:00,299,C0105,France
INV102871,SKU-1014,Power Bank 10000mAh,Electronics,7,2024-10-06 00:00,1799,C0083,India
INV100800,SKU-1014,Power Bank 10000mAh,Electronics,1,2024-02-18 00:00,1799,C0032,United Kingdom
INV101638,SKU-1009,Desk Lamp,Home,5,2024-07-21 00:00,1499,C0057,Germany
INV101241,SKU-1008,COFFEE MUG,Home,11,2024-09-11 00:00,249,C0019,United States
INV103196,SKU-1001,Wireless Mouse,Electronics,2,2024-09-16 00:00,799,C0036,India
INV103666,SKU-1004,Laptop Stand,Accessories,6,2024-12-23 00:00,1299,C0094,United Kingdom
INV101602,SKU-1014,Power Bank 10000mAh,Electronics,3,2024-09-18 00:00,1799,C0106,France
INV101493,SKU-1001,Wireless Mouse,Electronics,9,2024-02-13 00:00,799,C0098,France
INV103421,SKU-1005,Notebook A5,Stationery,10,2024-05-22 00:00,149,C0050,France
INV100144,SKU-1008,Coffee Mug,Home,7,2024-06-30 00:00,249,C0085,France
INV103418,SKU-1008,Coffee Mug,Home,-3,2024-09-06 00:00,249,C0040,France
INV103079,SKU-1001,Wireless Mouse,Electronics,4,2024-04-28 00:00,799,C0053,United Kingdom
INV100436,SKU-1001,Wireless Mouse,Electronics,6,2024-09-09 00:00,799,C0028,United States
INV102458,SKU-1012,Phone Case,Accessories,11,2024-09-21 00:00,499,C0027,Germany
INV103525,SKU-1011,Wireless Earbuds,Electronics,6,2024-09-01 00:00,3499,C0035,United States
INV102926,SKU-1004,Laptop Stand,Accessories,4,2024-11-22 00:00,1299,C0006,United States
INV102787,SKU-1011,Wireless Earbuds,Electronics,10,2024-12-02 00:00,3499,C0005,Germany
INV100000,SKU-1005,Notebook A5,Stationery,5,2024-07-09 00:00,149,C0061,United States
INV102622,SKU-1013,Sticky Notes,Stationery,7,2024-05-08 00:00,79,C0112,France
INV103400,SKU-1001,Wireless Mouse,Electronics,4,2024-06-03 00:00,799,C0024,United States
INV100606,SKU-1005,,Stationery,9,2024-05-04 00:00,149,C0008,France
INV100302,SKU-1013,Sticky Notes,Stationery,1,2024-08-19 00:00,79,C0039,United Kingdom
INV101611,SKU-1010,Backpack,Accessories,7,2024-01-12 00:00,1999,C0044,United Kingdom
INV102896,SKU-1005,Notebook A5,Stationery,11,2024-11-25 00:00,149,C0053,United Kingdom
INV103759,SKU-1006,Gel Pen Pack,Stationery,1,2024-08-17 00:00,99,C0093,United States
INV100663,SKU-1003,USB-C CABLE,Electronics,5,2024-11-02 00:00,299,C0086,France
INV101352,SKU-1002,Mechanical Keyboard,Electronics,8,2024-09-30 00:00,2499,C0005,Germany
INV101432,SKU-1013,Sticky Notes,Stationery,5,2024-12-21 00:00,79,C0056,India
INV100217,SKU-1012,Phone Case,Accessories,6,2024-01-27 00:00,499,C0023,India
INV100442,SKU-1011,Wireless Earbuds,Electronics,8,2024-12-31 00:00,3499,C0109,Germany
INV102445,SKU-1015,Yoga Mat,Home,6,2024-01-18 00:00,899,C0049,France
INV103787,SKU-1015,Yoga Mat,Home,5,2024-01-06 00:00,899,C0049,France
INV103518,SKU-1011,Wireless Earbuds,Electronics,3,2024-12-12 00:00,3499,C0067,United States
INV101350,SKU-1004,Laptop Stand,Accessories,3,2024-04-24 00:00,1299,C0092,United States
INV101185,SKU-1015,Yoga Mat,Home,9,2024-05-29 00:00,899,C0077,United Kingdom
INV101922,SKU-1012,Phone Case,Accessories,-10,2024-03-11 00:00,499,C0085,France
INV100507,SKU-1010,Backpack,Accessories,7,2024-04-07 00:00,1999,C0060,France
INV101656,SKU-1002,,Electronics,1,2024-06-02 00:00,2499,C0040,France
INV101431,SKU-1003,USB-C Cable,Electronics,9,2024-06-11 00:00,299,C0089,France
INV102226,SKU-1003,USB-C Cable,Electronics,5,2024-04-03 00:00,299,C0116,Germany
INV103544,SKU-1002,Mechanical Keyboard,Electronics,3,2024-05-04 00:00,2499,C0041,India
INV103771,SKU-1014,Power Bank 10000mAh,Electronics,5,2024-05-04 00:00,1799,C0033,India
INV100555,SKU-1001,Wireless Mouse,Electronics,11,2024-12-17 00:00,799,C0069,India
INV101797,SKU-1006,Gel Pen Pack,Stationery,4,2024-06-22 00:00,99,C0086,France
INV103360,SKU-1013,,Stationery,2,2024-08-03 00:00,79,C0049,USA
INV100601,SKU-1006,Gel Pen Pack,Stationery,10,2024-09-03 00:00,99,C0043,France
INV103396,SKU-1004,Laptop Stand,Accessories,8,2024-02-19 00:00,1299,C0064,United States
INV102882,SKU-1015,Yoga Mat,Home,6,2024-05-24 00:00,899,C0057,Germany
INV103695,SKU-1015,Yoga Mat,Home,9,2024-11-14 00:00,899,C0046,United States
INV101316,SKU-1008,Coffee Mug,Home,5,2024-03-22 00:00,249,C0087,India
INV102582,SKU-1012,Phone Case,Accessories,9,2024-04-05 00:00,499,C0102,India
INV102342,SKU-1007,WATER BOTTLE 1L,Home,9,2024-02-24 00:00,399,C0105,France
INV103711,SKU-1008,Coffee Mug,Home,1,2024-06-24 00:00,249,,Germany
INV102178,SKU-1011,Wireless Earbuds,Electronics,6,2024-10-11 00:00,3499,C0044,United Kingdom
INV100445,SKU-1009,Desk Lamp,Home,2,2024-08-19 00:00,1499,C0016,France
INV102001,SKU-1008,Coffee Mug,Home,10,2024-09-24 00:00,249,C0021,Germany
INV102486,SKU-1004,Laptop Stand,Accessories,1,2024-02-27 00:00,1299,C0034,Germany
INV102854,SKU-1011,WIRELESS EARBUDS,Electronics,7,2024-04-30 00:00,3499,C0057,Germany
INV101493,SKU-1012,Phone Case,Accessories,4,2024-12-04 00:00,499,C0106,France
INV103371,SKU-1008,COFFEE MUG,Home,5,2024-04-30 00:00,249,C0054,Germany
INV102254,SKU-1011,Wireless Earbuds,Electronics,7,2024-06-30 00:00,3499,C0039,United Kingdom
INV100396,SKU-1001,Wireless Mouse,Electronics,7,2024-09-16 00:00,799,C0005,Germany
INV101954,SKU-1007,Water Bottle 1L,Home,8,2024-09-13 00:00,399,C0061,United States
INV101358,SKU-1007,Water Bottle 1L,Home,2,2024-03-07 00:00,399,C0087,USA
INV103117,SKU-1008,Coffee Mug,Home,-5,2024-04-17 00:00,249,C0090,United States
INV100196,SKU-1009,Desk Lamp,Home,2,2024-05-17 00:00,1499,C0112,France
INV101029,SKU-1012,,Accessories,6,2024-10-29 00:00,499,C0064,United States
INV102709,SKU-1001,Wireless Mouse,Electronics,5,2024-12-08 00:00,799,C0092,United States
INV101968,SKU-1012,Phone Case,Accessories,3,2024-08-07 00:00,499,C0063,united kingdom
INV101159,SKU-1002,Mechanical Keyboard,Electronics,6,2024-01-29 00:00,2499,C0041,India
INV103719,SKU-1012,Phone Case,Accessories,-11,2024-09-14 00:00,499,C0081,United States
INV101714,SKU-1011,Wireless Earbuds,Electronics,1,2024-01-21 00:00,3499,C0045,India
INV102446,SKU-1007,WATER BOTTLE 1L,Home,9,2024-04-11 00:00,399,C0052,USA
INV100259,SKU-1005,Notebook A5,Stationery,1,2024-01-21 00:00,149,C0083,India
INV103979,SKU-1013,Sticky Notes,Stationery,8,2024-11-15 00:00,79,C0093,United States
INV101604,SKU-1005,Notebook A5,Stationery,2,2024-07-28 00:00,149,,India
INV102191,SKU-1001,Wireless Mouse,Electronics,3,2024-08-06 00:00,799,C0012,United States
INV100990,SKU-1009,Desk Lamp,Home,-7,2024-08-19 00:00,1499,C0078,United Kingdom
INV100889,SKU-1004,Laptop Stand,Accessories,11,2024-05-19 00:00,1299,C0037,United States
INV101573,SKU-1012,Phone Case,Accessories,9,2024-05-19 00:00,499,,France
INV101530,SKU-1002,Mechanical Keyboard,Electronics,5,2024-04-01 00:00,2499,C0089,France
INV103461,SKU-1003,,Electronics,6,2024-01-23 00:00,299,C0074,India
INV100019,SKU-1001,Wireless Mouse,Electronics,11,2024-09-23 00:00,799,,united kingdom
INV102230,SKU-1010,Backpack,Accessories,10,2024-06-07 00:00,1999,C0063,United Kingdom
INV102524,SKU-1013,Sticky Notes,Stationery,3,2024-07-16 00:00,79,C0041,India
INV102741,SKU-1015,Yoga Mat,Home,7,2024-03-28 00:00,899,C0108,France
INV100155,SKU-1008,Coffee Mug,Home,4,2024-04-09 00:00,249,C0053,United Kingdom
INV103111,SKU-1011,Wireless Earbuds,Electronics,4,2024-10-29 00:00,3499,C0108,France
INV102882,SKU-1002,Mechanical Keyboard,Electronics,5,2024-12-17 00:00,2499,C0106,France
INV100695,SKU-1008,Coffee Mug,Home,1,2024-01-22 00:00,249,C0100,India
INV101205,SKU-1003,USB-C Cable,Electronics,3,2024-01-12 00:00,299,C0085,France
INV102035,SKU-1008,Coffee Mug,Home,6,2024-09-19 00:00,249,C0056,India
INV101446,SKU-1005,Notebook A5,Stationery,6,2024-03-08 00:00,149,C0088,United Kingdom
INV103486,SKU-1015,Yoga Mat,Home,7,2024-04-23 00:00,899,,United Kingdom
INV101205,SKU-1011,Wireless Earbuds,Electronics,2,2024-02-01 00:00,3499,C0019,United States
INV101299,SKU-1013,Sticky Notes,Stationery,8,2024-02-18 00:00,79,C0012,United States
INV103933,SKU-1010,Backpack,Accessories,10,2024-11-23 00:00,1999,C0042,united kingdom
INV103566,SKU-1015,YOGA MAT,Home,2,2024-09-30 00:00,899,C0019,United States
INV101980,SKU-1007,Water Bottle 1L,Home,7,2024-10-23 00:00,399,C0082,Germany
INV100235,SKU-1012,Phone Case,Accessories,8,2024-04-21 00:00,499,C0010,India
INV103062,SKU-1011,Wireless Earbuds,Electronics,1,2024-03-20 00:00,3499,C0014,USA
INV103392,SKU-1002,Mechanical Keyboard,Electronics,7,2024-04-27 00:00,2499,C0116,Germany
INV100812,SKU-1004,Laptop Stand,Accessories,6,2024-06-14 00:00,1299,C0060,France
INV103486,SKU-1002,Mechanical Keyboard,Electronics,1,2024-01-27 00:00,2499,C0024,United States
INV103260,SKU-1012,Phone Case,Accessories,3,2024-06-13 00:00,499,C0014,France
INV101611,SKU-1015,Yoga Mat,Home,1,2024-11-01 00:00,899,C0092,United States
INV100937,SKU-1009,Desk Lamp,Home,6,2024-09-24 00:00,1499,C0011,Germany
INV103689,SKU-1015,Yoga Mat,Home,7,2024-04-28 00:00,899,C0118,India
INV100621,SKU-1013,Sticky Notes,Stationery,6,2024-08-10 00:00,79,C0013,France
INV103260,SKU-1009,Desk Lamp,Home,6,2024-02-11 00:00,1499,C0089,France
INV103084,SKU-1002,Mechanical Keyboard,Electronics,11,2024-01-31 00:00,2499,C0113,Germany
INV103825,SKU-1005,Notebook A5,Stationery,5,2024-10-21 00:00,149,C0117,India
INV100216,SKU-1010,Backpack,Accessories,9,2024-08-21 00:00,1999,C0075,France
INV103797,SKU-1006,Gel Pen Pack,Stationery,5,2024-08-30 00:00,99,C0033,India
INV100571,SKU-1001,Wireless Mouse,Electronics,2,2024-02-13 00:00,799,C0116,Germany
INV101602,SKU-1007,Water Bottle 1L,Home,8,2024-10-26 00:00,399,C0048,United States
INV102439,SKU-1009,Desk Lamp,Home,11,2024-12-24 00:00,1499,C0116,Germany
INV101000,SKU-1002,Mechanical Keyboard,Electronics,1,2024-06-14 00:00,2499,C0053,United Kingdom
INV103698,SKU-1002,Mechanical Keyboard,Electronics,10,2024-11-26 00:00,2499,C0076,Germany
INV103166,SKU-1001,Wireless Mouse,Electronics,2,2024-03-02 00:00,799,C0021,united kingdom
INV102941,SKU-1006,Gel Pen Pack,Stationery,1,2024-08-24 00:00,99,C0067,United States
INV100517,SKU-1013,Sticky Notes,Stationery,3,2024-04-08 00:00,79,C0013,France
INV102379,SKU-1002,Mechanical Keyboard,Electronics,7,2024-08-28 00:00,2499,C0020,Germany
INV100955,SKU-1015,Yoga Mat,Home,5,2024-09-26 00:00,899,C0028,United States
INV100852,SKU-1010,Backpack,Accessories,2,2024-07-14 00:00,1999,C0082,Germany
INV102846,SKU-1014,Power Bank 10000mAh,Electronics,4,2024-01-19 00:00,1799,C0108,France
INV102096,SKU-1002,Mechanical Keyboard,Electronics,10,2024-07-16 00:00,2499,C0008,France
INV100506,SKU-1001,Wireless Mouse,Electronics,3,2024-06-12 00:00,799,C0113,Germany
INV100176,SKU-1006,Gel Pen Pack,Stationery,2,2024-11-01 00:00,99,C0099,France
INV103897,SKU-1008,Coffee Mug,Home,2,2024-06-01 00:00,249,C0048,United States
INV102486,SKU-1003,USB-C Cable,Electronics,7,2024-12-28 00:00,299,C0095,United States
INV100614,SKU-1009,Desk Lamp,Home,-8,2024-09-27 00:00,1499,C0061,United States
INV102048,SKU-1006,Gel Pen Pack,Stationery,9,2024-06-15 00:00,99,,United States
INV101294,SKU-1002,Mechanical Keyboard,Electronics,1,2024-03-28 00:00,2499,C0101,united kingdom
INV102680,SKU-1011,Wireless Earbuds,Electronics,5,2024-05-19 00:00,3499,C0053,United Kingdom
INV101475,SKU-1011,Wireless Earbuds,Electronics,11,2024-03-04 00:00,3499,C0003,France
INV100871,SKU-1014,Power Bank 10000mAh,Electronics,8,2024-02-26 00:00,1799,C0035,United States
INV100381,SKU-1007,Water Bottle 1L,Home,10,2024-09-15 00:00,399,C0055,Germany
INV100660,SKU-1006,Gel Pen Pack,Stationery,-7,2024-04-20 00:00,99,C0001,India
INV100826,SKU-1010,Backpack,Accessories,11,2024-07-31 00:00,1999,C0027,Germany
INV103960,SKU-1004,Laptop Stand,Accessories,5,2024-01-17 00:00,N/A,C0105,united kingdom
INV100894,SKU-1003,USB-C Cable,Electronics,9,2024-07-24 00:00,299,C0061,United States
INV103796,SKU-1014,Power Bank 10000mAh,Electronics,1,2024-08-18 00:00,1799,C0113,Germany
INV103202,SKU-1005,Notebook A5,Stationery,3,2024-11-14 00:00,149,C0011,Germany
INV103815,SKU-1013,Sticky Notes,Stationery,4,2024-07-18 00:00,79,C0033,India
INV102544,SKU-1003,USB-C Cable,Electronics,8,2024-06-05 00:00,299,C0080,France
INV102752,SKU-1007,Water Bottle 1L,Home,1,2024-05-10 00:00,399,C0034,Germany
INV103925,SKU-1008,Coffee Mug,Home,3,2024-05-14 00:00,249,C0071,France
INV103528,SKU-1010,Backpack,Accessories,-4,2024-08-21 00:00,1999,C0050,France
INV102316,SKU-1005,Notebook A5,Stationery,7,2024-03-05 00:00,149,,united kingdom
INV100605,SKU-1005,NOTEBOOK A5,Stationery,11,2024-06-02 00:00,149,C0003,France
INV101197,SKU-1011,Wireless Earbuds,Electronics,11,2024-08-05 00:00,3499,C0078,United Kingdom
INV100092,SKU-1011,Wireless Earbuds,Electronics,6,2024-05-26 00:00,3499,C0066,United Kingdom
INV101885,SKU-1006,Gel Pen Pack,Stationery,8,2024-04-23 00:00,99,C0007,India
INV101995,SKU-1013,Sticky Notes,Stationery,7,2024-03-22 00:00,79,C0070,Germany
INV103260,SKU-1012,Phone Case,Accessories,2,2024-11-14 00:00,499,C0085,France
INV103874,SKU-1015,Yoga Mat,Home,1,2024-12-20 00:00,899,C0050,France
INV102810,SKU-1013,Sticky Notes,Stationery,8,2024-03-26 00:00,79,,Germany
INV103422,SKU-1007,Water Bottle 1L,Home,10,2024-03-26 00:00,399,C0046,United States
INV101529,SKU-1014,POWER BANK 10000MAH,Electronics,10,2024-09-07 00:00,1799,C0001,India
INV102514,SKU-1014,Power Bank 10000mAh,Electronics,5,2024-08-17 00:00,1799,C0107,France
INV103043,SKU-1015,Yoga Mat,Home,4,2024-08-22 00:00,899,C0085,united kingdom
INV101181,SKU-1010,Backpack,Accessories,10,2024-01-15 00:00,1999,C0013,France
INV101353,SKU-1014,Power Bank 10000mAh,Electronics,4,2024-11-02 00:00,1799,C0066,United Kingdom
INV103822,SKU-1003,USB-C Cable,Electronics,2,2024-11-01 00:00,299,C0011,Germany
INV101871,SKU-1003,USB-C Cable,Electronics,8,2024-04-03 00:00,299,C0039,United Kingdom
INV103923,SKU-1010,Backpack,Accessories,5,2024-03-26 00:00,1999,C0100,India
INV100355,SKU-1008,Coffee Mug,Home,7,2024-03-25 00:00,249,C0029,Germany
INV100326,SKU-1001,Wireless Mouse,Electronics,3,2024-01-20 00:00,799,C0002,France
INV102124,SKU-1005,Notebook A5,Stationery,11,2024-01-26 00:00,149,C0002,France
INV100495,SKU-1013,Sticky Notes,Stationery,10,2024-04-14 00:00,79,C0061,United States
INV100171,SKU-1002,Mechanical Keyboard,Electronics,4,2024-09-21 00:00,2499,C0084,United States
INV102175,SKU-1001,Wireless Mouse,Electronics,5,2024-01-01 00:00,799,C0037,United States
INV100614,SKU-1004,Laptop Stand,Accessories,9,2024-03-31 00:00,1299,C0051,united kingdom
INV100580,SKU-1007,Water Bottle 1L,Home,-6,2024-11-07 00:00,399,C0075,France
INV103915,SKU-1009,Desk Lamp,Home,1,2024-11-03 00:00,1499,C0095,United States
INV101240,SKU-1015,Yoga Mat,Home,4,2024-07-25 00:00,899,C0004,Germany
INV101248,SKU-1001,Wireless Mouse,Electronics,8,2024-10-06 00:00,799,C0095,united kingdom
INV101547,SKU-1006,Gel Pen Pack,Stationery,3,2024-05-16 00:00,99,C0016,united kingdom
INV103399,SKU-1014,Power Bank 10000mAh,Electronics,8,2024-08-07 00:00,1799,C0087,India
INV103628,SKU-1014,,Electronics,10,2024-05-11 00:00,1799,C0087,India
INV103720,SKU-1003,USB-C Cable,Electronics,2,2024-08-29 00:00,299,C0036,India
INV101038,SKU-1001,Wireless Mouse,Electronics,5,2024-08-25 00:00,799,C0078,United Kingdom
INV103023,SKU-1011,Wireless Earbuds,Electronics,6,2024-12-06 00:00,3499,C0030,Germany
INV102397,SKU-1003,USB-C Cable,Electronics,11,2024-12-05 00:00,299,C0038,united kingdom
INV101100,SKU-1007,WATER BOTTLE 1L,Home,4,2024-02-26 00:00,399,C0005,Germany
INV103803,SKU-1003,USB-C Cable,Electronics,4,2024-09-27 00:00,299,C0022,United Kingdom
INV100740,SKU-1014,Power Bank 10000mAh,Electronics,2,2024-08-29 00:00,1799,C0085,France
INV102582,SKU-1009,Desk Lamp,Home,5,2024-09-04 00:00,1499,,India
INV102486,SKU-1011,Wireless Earbuds,Electronics,1,2024-09-24 00:00,3499,C0028,United States
INV103750,SKU-1012,Phone Case,Accessories,10,2024-11-23 00:00,499,C0039,United Kingdom
INV100432,SKU-1001,Wireless Mouse,Electronics,9,2024-03-28 00:00,799,C0114,Germany
INV102639,SKU-1006,Gel Pen Pack,Stationery,8,2024-07-25 00:00,99,C0120,India
INV102706,SKU-1013,Sticky Notes,Stationery,1,2024-07-28 00:00,79,C0026,France
INV103555,SKU-1001,Wireless Mouse,Electronics,2,2024-09-27 00:00,799,C0080,France
INV100361,SKU-1010,Backpack,Accessories,3,2024-09-23 00:00,1999,C0106,France
INV103200,SKU-1005,,Stationery,6,2024-03-02 00:00,149,C0046,United States
INV102327,SKU-1011,Wireless Earbuds,Electronics,2,2024-08-19 00:00,3499,C0080,France
INV101320,SKU-1012,Phone Case,Accessories,1,2024-04-22 00:00,499,C0092,United States
INV102577,SKU-1005,Notebook A5,Stationery,2,2024-06-14 00:00,149,C0038,United States
INV101998,SKU-1006,Gel Pen Pack,Stationery,8,2024-08-14 00:00,99,C0059,France
INV103674,SKU-1010,Backpack,Accessories,9,2024-04-01 00:00,1999,C0082,Germany
INV102284,SKU-1008,Coffee Mug,Home,10,2024-07-24 00:00,249,C0092,united kingdom
INV101232,SKU-1015,YOGA MAT,Home,6,2024-10-17 00:00,899,C0105,France
INV103981,SKU-1009,Desk Lamp,Home,2,2024-12-20 00:00,1499,C0058,India
INV102119,SKU-1005,Notebook A5,Stationery,3,2024-10-18 00:00,149,C0048,United States
INV103112,SKU-1012,Phone Case,Accessories,6,2024-11-10 00:00,499,C0071,France
INV101763,SKU-1009,Desk Lamp,Home,5,2024-05-09 00:00,1499,C0084,United States
INV101822,SKU-1015,Yoga Mat,Home,4,2024-08-24 00:00,899,C0120,USA
INV102330,SKU-1003,USB-C Cable,Electronics,8,2024-04-14 00:00,299,C0011,Germany
INV103106,SKU-1006,Gel Pen Pack,Stationery,2,2024-02-04 00:00,99,C0114,Germany
INV103371,SKU-1004,Laptop Stand,Accessories,9,2024-04-22 00:00,1299,C0089,France
INV101921,SKU-1001,Wireless Mouse,Electronics,4,2024-11-23 00:00,799,C0088,united kingdom
INV100332,SKU-1001,Wireless Mouse,Electronics,5,2024-07-05 00:00,799,C0004,united kingdom
INV102762,SKU-1006,Gel Pen Pack,Stationery,8,2024-09-01 00:00,99,,Germany
INV103794,SKU-1014,Power Bank 10000mAh,Electronics,10,2024-04-17 00:00,1799,C0065,Germany
INV103996,SKU-1009,Desk Lamp,Home,3,2024-09-17 00:00,1499,C0065,Germany
INV100509,SKU-1012,Phone Case,Accessories,5,2024-08-15 00:00,499,C0003,France
INV103302,SKU-1001,Wireless Mouse,Electronics,6,2024-09-27 00:00,799,C0118,India
INV102219,SKU-1005,Notebook A5,Stationery,3,2024-12-13 00:00,149,C0031,Germany
INV103221,SKU-1013,Sticky Notes,Stationery,9,2024-05-13 00:00,79,C0108,France
INV103297,SKU-1013,Sticky Notes,Stationery,9,2024-04-04 00:00,79,C0023,India
INV103829,SKU-1007,Water Bottle 1L,Home,10,2024-11-23 00:00,399,C0052,India
INV101223,SKU-1013,Sticky Notes,Stationery,11,2024-12-04 00:00,79,C0033,India
INV101255,SKU-1009,Desk Lamp,Home,7,2024-11-08 00:00,1499,C0105,France
INV102900,SKU-1003,USB-C Cable,Electronics,10,2024-09-16 00:00,299,C0080,France
INV100880,SKU-1005,Notebook A5,Stationery,10,2024-06-04 00:00,149,C0089,France
INV103564,SKU-1009,Desk Lamp,Home,11,2024-03-18 00:00,1499,C0099,France
INV103469,SKU-1015,Yoga Mat,Home,10,2024-03-18 00:00,899,C0063,United Kingdom
INV101663,SKU-1002,Mechanical Keyboard,Electronics,9,2024-01-16 00:00,2499,C0091,Germany
INV103155,SKU-1005,Notebook A5,Stationery,5,2024-06-06 00:00,149,C0074,India
INV102141,SKU-1007,Water Bottle 1L,Home,9,2024-02-11 00:00,399,C0055,Germany
INV100213,SKU-1014,Power Bank 10000mAh,Electronics,7,2024-02-14 00:00,1799,C0039,United Kingdom
INV102504,SKU-1001,Wireless Mouse,Electronics,6,2024-02-14 00:00,799,C0021,Germany
INV100813,SKU-1009,Desk Lamp,Home,4,2024-08-09 00:00,1499,C0049,France
INV101945,SKU-1015,Yoga Mat,Home,6,2024-06-23 00:00,899,,United States
INV103760,SKU-1012,Phone Case,Accessories,8,2024-05-08 00:00,499,C0022,United Kingdom
INV101610,SKU-1010,Backpack,Accessories,4,2024-02-26 00:00,1999,C0014,France
INV102849,SKU-1003,USB-C Cable,Electronics,11,2024-04-12 00:00,299,C0003,France
INV100145,SKU-1015,Yoga Mat,Home,8,2024-01-19 00:00,899,C0015,France
INV103829,SKU-1002,Mechanical Keyboard,Electronics,2,2024-08-28 00:00,2499,,France
